awayTeam,group,homeTeam,id,lastUpdated,matchday,referees,score,season,stage,status,utcDate
"{'id': 338, 'name': 'Leicester City FC'}",Regular Season,"{'id': 57, 'name': 'Arsenal FC'}",205156,2018-06-22T10:03:56Z,1,"[{'id': 11575, 'name': 'Mike Dean', 'nationality': None}, {'id': 11504, 'name': 'Simon Long', 'nationality': None}, {'id': 11576, 'name': 'Darren Cann', 'nationality': None}, {'id': 11479, 'name': 'Lee Mason', 'nationality': None}]","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 4, 'awayTeam': 3}, 'halfTime': {'homeTeam': 2, 'awayTeam': 2}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 23, 'startDate': '2017-08-11', 'endDate': '2018-05-13', 'currentMatchday': 38}",REGULAR_SEASON,FINISHED,2017-08-11T18:45:00Z
"{'id': 64, 'name': 'Liverpool FC'}",Regular Season,"{'id': 346, 'name': 'Watford FC'}",205157,2018-06-22T10:03:57Z,1,"[{'id': 11580, 'name': 'Anthony Taylor', 'nationality': None}, {'id': 11581, 'name': 'Gary Beswick', 'nationality': None}, {'id': 11552, 'name': 'Peter Kirkup', 'nationality': None}, {'id': 11520, 'name': 'Paul Tierney', 'nationality': None}]","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 3, 'awayTeam': 3}, 'halfTime': {'homeTeam': 2, 'awayTeam': 1}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 23, 'startDate': '2017-08-11', 'endDate': '2018-05-13', 'currentMatchday': 38}",REGULAR_SEASON,FINISHED,2017-08-12T11:30:00Z
"{'id': 328, 'name': 'Burnley FC'}",Regular Season,"{'id': 61, 'name': 'Chelsea FC'}",205158,2018-06-22T10:03:57Z,1,"[{'id': 11585, 'name': 'Craig Pawson', 'nationality': None}, {'id': 11586, 'name': 'Richard West', 'nationality': None}, {'id': 11530, 'name': 'Lee Betts', 'nationality': None}, {'id': 11479, 'name': 'Lee Mason', 'nationality': None}]","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 2, 'awayTeam': 3}, 'halfTime': {'homeTeam': 0, 'awayTeam': 3}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 23, 'startDate': '2017-08-11', 'endDate': '2018-05-13', 'currentMatchday': 38}",REGULAR_SEASON,FINISHED,2017-08-12T14:00:00Z
"{'id': 70, 'name': 'Stoke City FC'}",Regular Season,"{'id': 62, 'name': 'Everton FC'}",205159,2018-06-22T10:03:57Z,1,"[{'id': 11592, 'name': 'Niel Swarbrick', 'nationality': None}, {'id': 11570, 'name': 'Harry Lennard', 'nationality': None}, {'id': 11496, 'name': 'Mick McDonough', 'nationality': None}, {'id': 11287, 'name': 'Oliver Langford', 'nationality': None}]","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 1, 'awayTeam': 0}, 'halfTime': {'homeTeam': 1, 'awayTeam': 0}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 23, 'startDate': '2017-08-11', 'endDate': '2018-05-13', 'currentMatchday': 38}",REGULAR_SEASON,FINISHED,2017-08-12T14:00:00Z
"{'id': 1044, 'name': 'AFC Bournemouth'}",Regular Season,"{'id': 74, 'name': 'West Bromwich Albion FC'}",205160,2018-06-22T10:03:57Z,1,"[{'id': 11529, 'name': 'Robert Madley', 'nationality': None}, {'id': 11531, 'name': 'Marc Perry', 'nationality': None}, {'id': 11595, 'name': 'Adrian Holmes', 'nationality': None}, {'id': 11543, 'name': 'Roger East', 'nationality': None}]","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 1, 'awayTeam': 0}, 'halfTime': {'homeTeam': 1, 'awayTeam': 0}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 23, 'startDate': '2017-08-11', 'endDate': '2018-05-13', 'currentMatchday': 38}",REGULAR_SEASON,FINISHED,2017-08-12T14:00:00Z
"{'id': 72, 'name': 'Swansea City AFC'}",Regular Season,"{'id': 340, 'name': 'Southampton FC'}",205161,2018-06-22T10:03:57Z,1,"[{'id': 11598, 'name': 'Mike Jones', 'nationality': None}, {'id': 11521, 'name': 'Mark Scholes', 'nationality': None}, {'id': 11505, 'name': 'Derek Eaton', 'nationality': None}, {'id': 11290, 'name': 'Steve Martin', 'nationality': None}]","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 0, 'awayTeam': 0}, 'halfTime': {'homeTeam': 0, 'awayTeam': 0}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 23, 'startDate': '2017-08-11', 'endDate': '2018-05-13', 'currentMatchday': 38}",REGULAR_SEASON,FINISHED,2017-08-12T14:00:00Z
"{'id': 394, 'name': 'Huddersfield Town AFC'}",Regular Season,"{'id': 354, 'name': 'Crystal Palace FC'}",205162,2018-06-22T10:03:57Z,1,"[{'id': 11567, 'name': 'Jonathan Moss', 'nationality': None}, {'id': 11480, 'name': 'Eddie Smart', 'nationality': None}, {'id': 11568, 'name': 'Andrew Halliday', 'nationality': None}, {'id': 11503, 'name': 'Graham Scott', 'nationality': None}]","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 0, 'awayTeam': 3}, 'halfTime': {'homeTeam': 0, 'awayTeam': 2}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 23, 'startDate': '2017-08-11', 'endDate': '2018-05-13', 'currentMatchday': 38}",REGULAR_SEASON,FINISHED,2017-08-12T14:00:00Z
"{'id': 65, 'name': 'Manchester City FC'}",Regular Season,"{'id': 397, 'name': 'Brighton & Hove Albion FC'}",205163,2018-06-22T10:03:57Z,1,"[{'id': 11605, 'name': 'Michael Oliver', 'nationality': None}, {'id': 11488, 'name': 'Simon Bennett', 'nationality': None}, {'id': 11606, 'name': 'Constantine Hatzidakis', 'nationality': None}, {'id': 11494, 'name': 'Stuart Attwell', 'nationality': None}]","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 0, 'awayTeam': 2}, 'halfTime': {'homeTeam': 0, 'awayTeam': 0}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 23, 'startDate': '2017-08-11', 'endDate': '2018-05-13', 'currentMatchday': 38}",REGULAR_SEASON,FINISHED,2017-08-12T16:30:00Z
"{'id': 73, 'name': 'Tottenham Hotspur FC'}",Regular Season,"{'id': 67, 'name': 'Newcastle United FC'}",205164,2018-06-22T10:03:57Z,1,"[{'id': 11610, 'name': 'Andre Marriner', 'nationality': None}, {'id': 11544, 'name': 'Simon Beck', 'nationality': None}, {'id': 11611, 'name': 'Scott Ledger', 'nationality': None}, {'id': 11487, 'name': 'Kevin Friend', 'nationality': None}]","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 0, 'awayTeam': 2}, 'halfTime': {'homeTeam': 0, 'awayTeam': 0}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 23, 'startDate': '2017-08-11', 'endDate': '2018-05-13', 'currentMatchday': 38}",REGULAR_SEASON,FINISHED,2017-08-13T12:30:00Z
"{'id': 563, 'name': 'West Ham United FC'}",Regular Season,"{'id': 66, 'name': 'Manchester United FC'}",205165,2018-06-22T10:03:57Z,1,"[{'id': 11551, 'name': 'Martin Atkinson', 'nationality': None}, {'id': 11547, 'name': 'Stephen Child', 'nationality': None}, {'id': 11615, 'name': 'Adam Nunn', 'nationality': None}, {'id': 11592, 'name': 'Niel Swarbrick', 'nationality': None}]","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 4, 'awayTeam': 0}, 'halfTime': {'homeTeam': 1, 'awayTeam': 0}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 23, 'startDate': '2017-08-11', 'endDate': '2018-05-13', 'currentMatchday': 38}",REGULAR_SEASON,FINISHED,2017-08-13T15:00:00Z
