matchday,Arsenal,Bournemouth,Brighton,Burnley,Cardiff,Chelsea,Crystal Palace,Everton,Fulham,Huddersfield,Leicester,Liverpool,Man City,Man Utd,Newcastle,Southampton,Spurs,Watford,West Ham,Wolves
1,"('Man City', 'Home')","('Cardiff', 'Home')","('Watford', 'Away')","('Southampton', 'Away')","('Bournemouth', 'Away')","('Huddersfield', 'Away')","('Fulham', 'Away')","('Wolves', 'Away')","('Crystal Palace', 'Home')","('Chelsea', 'Home')","('Man Utd', 'Away')","('West Ham', 'Home')","('Arsenal', 'Away')","('Leicester', 'Home')","('Spurs', 'Home')","('Burnley', 'Home')","('Newcastle', 'Away')","('Brighton', 'Home')","('Liverpool', 'Away')","('Everton', 'Home')"
2,"('Chelsea', 'Away')","('West Ham', 'Away')","('Man Utd', 'Home')","('Watford', 'Home')","('Newcastle', 'Home')","('Arsenal', 'Home')","('Liverpool', 'Home')","('Southampton', 'Home')","('Spurs', 'Away')","('Man City', 'Away')","('Wolves', 'Home')","('Crystal Palace', 'Away')","('Huddersfield', 'Home')","('Brighton', 'Away')","('Cardiff', 'Away')","('Everton', 'Away')","('Fulham', 'Home')","('Burnley', 'Away')","('Bournemouth', 'Home')","('Leicester', 'Away')"
3,"('West Ham', 'Home')","('Everton', 'Home')","('Liverpool', 'Away')","('Fulham', 'Away')","('Huddersfield', 'Away')","('Newcastle', 'Away')","('Watford', 'Away')","('Bournemouth', 'Away')","('Burnley', 'Home')","('Cardiff', 'Home')","('Southampton', 'Away')","('Brighton', 'Home')","('Wolves', 'Away')","('Spurs', 'Home')","('Chelsea', 'Home')","('Leicester', 'Home')","('Man Utd', 'Away')","('Crystal Palace', 'Home')","('Arsenal', 'Away')","('Man City', 'Home')"
4,"('Cardiff', 'Away')","('Chelsea', 'Away')","('Fulham', 'Home')","('Man Utd', 'Home')","('Arsenal', 'Home')","('Bournemouth', 'Home')","('Southampton', 'Home')","('Huddersfield', 'Home')","('Brighton', 'Away')","('Everton', 'Away')","('Liverpool', 'Home')","('Leicester', 'Away')","('Newcastle', 'Home')","('Burnley', 'Away')","('Man City', 'Away')","('Crystal Palace', 'Away')","('Watford', 'Away')","('Spurs', 'Home')","('Wolves', 'Home')","('West Ham', 'Away')"
5,"('Newcastle', 'Away')","('Leicester', 'Home')","('Southampton', 'Away')","('Wolves', 'Away')","('Chelsea', 'Away')","('Cardiff', 'Home')","('Huddersfield', 'Away')","('West Ham', 'Home')","('Man City', 'Away')","('Crystal Palace', 'Home')","('Bournemouth', 'Away')","('Spurs', 'Away')","('Fulham', 'Home')","('Watford', 'Away')","('Arsenal', 'Home')","('Brighton', 'Home')","('Liverpool', 'Home')","('Man Utd', 'Home')","('Everton', 'Away')","('Burnley', 'Home')"
6,"('Everton', 'Home')","('Burnley', 'Away')","('Spurs', 'Home')","('Bournemouth', 'Home')","('Man City', 'Home')","('West Ham', 'Away')","('Newcastle', 'Home')","('Arsenal', 'Away')","('Watford', 'Home')","('Leicester', 'Away')","('Huddersfield', 'Home')","('Southampton', 'Home')","('Cardiff', 'Away')","('Wolves', 'Home')","('Crystal Palace', 'Away')","('Liverpool', 'Away')","('Brighton', 'Away')","('Fulham', 'Away')","('Chelsea', 'Home')","('Man Utd', 'Away')"
7,"('Watford', 'Home')","('Crystal Palace', 'Home')","('Man City', 'Away')","('Cardiff', 'Away')","('Burnley', 'Home')","('Liverpool', 'Home')","('Bournemouth', 'Away')","('Fulham', 'Home')","('Everton', 'Away')","('Spurs', 'Home')","('Newcastle', 'Away')","('Chelsea', 'Away')","('Brighton', 'Home')","('West Ham', 'Away')","('Leicester', 'Home')","('Wolves', 'Away')","('Huddersfield', 'Away')","('Arsenal', 'Away')","('Man Utd', 'Home')","('Southampton', 'Home')"
8,"('Fulham', 'Away')","('Watford', 'Away')","('West Ham', 'Home')","('Huddersfield', 'Home')","('Spurs', 'Away')","('Southampton', 'Away')","('Wolves', 'Home')","('Leicester', 'Away')","('Arsenal', 'Home')","('Burnley', 'Away')","('Everton', 'Home')","('Man City', 'Home')","('Liverpool', 'Away')","('Newcastle', 'Home')","('Man Utd', 'Away')","('Chelsea', 'Home')","('Cardiff', 'Home')","('Bournemouth', 'Home')","('Brighton', 'Away')","('Crystal Palace', 'Away')"
9,"('Leicester', 'Home')","('Southampton', 'Home')","('Newcastle', 'Away')","('Man City', 'Away')","('Fulham', 'Home')","('Man Utd', 'Home')","('Everton', 'Away')","('Crystal Palace', 'Home')","('Cardiff', 'Away')","('Liverpool', 'Home')","('Arsenal', 'Away')","('Huddersfield', 'Away')","('Burnley', 'Home')","('Chelsea', 'Away')","('Brighton', 'Home')","('Bournemouth', 'Away')","('West Ham', 'Away')","('Wolves', 'Away')","('Spurs', 'Home')","('Watford', 'Home')"
10,"('Crystal Palace', 'Away')","('Fulham', 'Away')","('Wolves', 'Home')","('Chelsea', 'Home')","('Liverpool', 'Away')","('Burnley', 'Away')","('Arsenal', 'Home')","('Man Utd', 'Away')","('Bournemouth', 'Home')","('Watford', 'Away')","('West Ham', 'Home')","('Cardiff', 'Home')","('Spurs', 'Away')","('Everton', 'Home')","('Southampton', 'Away')","('Newcastle', 'Home')","('Man City', 'Home')","('Huddersfield', 'Home')","('Leicester', 'Away')","('Brighton', 'Away')"
