,HGF,HGA,AGF,AGA
Man City,1.8710526315789475,-0.6026315789473685,1.0289473684210524,-0.6552631578947369
Man Utd,0.6605263157894736,-0.8657894736842107,0.23947368421052628,-0.33947368421052637
Spurs,0.7657894736842104,-0.4973684210526317,0.44999999999999996,-0.286842105263158
Liverpool,1.0289473684210524,-0.8131578947368422,0.7131578947368422,0.13421052631578934
Chelsea,0.23947368421052628,-0.4973684210526317,0.344736842105263,-0.18157894736842106
Arsenal,1.5026315789473683,-0.286842105263158,-0.286842105263158,0.29210526315789465
Burnley,-0.4973684210526317,-0.4447368421052632,-0.286842105263158,-0.18157894736842106
Everton,0.13421052631578934,-0.18157894736842106,-0.4973684210526317,0.5552631578947367
Leicester,-0.023684210526315752,-0.18157894736842106,0.29210526315789465,0.6605263157894736
Newcastle,-0.23421052631578942,-0.4447368421052632,-0.39210526315789485,0.23947368421052628
Crystal Palace,0.18684210526315792,0.08157894736842097,-0.4973684210526317,0.13421052631578934
Bournemouth,0.02894736842105261,0.23947368421052628,-0.33947368421052637,0.29210526315789465
West Ham,-0.07631578947368434,0.02894736842105261,-0.07631578947368434,0.8710526315789475
Watford,0.08157894736842097,0.29210526315789465,-0.4447368421052632,0.3973684210526316
Brighton,-0.07631578947368434,-0.023684210526315752,-0.8131578947368422,0.18684210526315792
Huddersfield,-0.4973684210526317,-0.023684210526315752,-0.7078947368421054,0.3973684210526316
Southampton,-0.286842105263158,0.02894736842105261,-0.4447368421052632,0.23947368421052628
Swansea,-0.4447368421052632,-0.07631578947368434,-0.7605263157894737,0.344736842105263
Stoke,-0.286842105263158,0.23947368421052628,-0.55,0.6605263157894736
West Brom,-0.23421052631578942,0.18684210526315792,-0.8131578947368422,0.08157894736842097
