matchday,homeTeam,awayTeam,homeScore,awayScore,winner
1,Arsenal,Leicester,4,3,HOME_TEAM
1,Watford,Liverpool,3,3,DRAW
1,Chelsea,Burnley,2,3,AWAY_TEAM
1,Everton,Stoke,1,0,HOME_TEAM
1,West Brom,Bournemouth,1,0,HOME_TEAM
1,Southampton,Swansea,0,0,DRAW
1,Crystal Palace,Huddersfield,0,3,AWAY_TEAM
1,Brighton,Man City,0,2,AWAY_TEAM
1,Newcastle,Spurs,0,2,AWAY_TEAM
1,Man Utd,West Ham,4,0,HOME_TEAM
2,Swansea,Man Utd,0,4,AWAY_TEAM
2,Liverpool,Crystal Palace,1,0,HOME_TEAM
2,Leicester,Brighton,2,0,HOME_TEAM
2,Burnley,West Brom,0,1,AWAY_TEAM
2,Southampton,West Ham,3,2,HOME_TEAM
2,Bournemouth,Watford,0,2,AWAY_TEAM
2,Stoke,Arsenal,1,0,HOME_TEAM
2,Huddersfield,Newcastle,1,0,HOME_TEAM
2,Spurs,Chelsea,1,2,AWAY_TEAM
2,Man City,Everton,1,1,DRAW
3,Bournemouth,Man City,1,2,AWAY_TEAM
3,Newcastle,West Ham,3,0,HOME_TEAM
3,Huddersfield,Southampton,0,0,DRAW
3,Crystal Palace,Swansea,0,2,AWAY_TEAM
3,Watford,Brighton,0,0,DRAW
3,Man Utd,Leicester,2,0,HOME_TEAM
3,Chelsea,Everton,2,0,HOME_TEAM
3,West Brom,Stoke,1,1,DRAW
3,Liverpool,Arsenal,4,0,HOME_TEAM
3,Spurs,Burnley,1,1,DRAW
4,Man City,Liverpool,5,0,HOME_TEAM
4,Arsenal,Bournemouth,3,0,HOME_TEAM
4,Everton,Spurs,0,3,AWAY_TEAM
4,Leicester,Chelsea,1,2,AWAY_TEAM
4,Southampton,Watford,0,2,AWAY_TEAM
4,Brighton,West Brom,3,1,HOME_TEAM
4,Stoke,Man Utd,2,2,DRAW
4,Burnley,Crystal Palace,1,0,HOME_TEAM
4,Swansea,Newcastle,0,1,AWAY_TEAM
4,West Ham,Huddersfield,2,0,HOME_TEAM
5,Bournemouth,Brighton,2,1,HOME_TEAM
5,Crystal Palace,Southampton,0,1,AWAY_TEAM
5,Liverpool,Burnley,1,1,DRAW
5,Newcastle,Stoke,2,1,HOME_TEAM
5,West Brom,West Ham,0,0,DRAW
5,Huddersfield,Leicester,1,1,DRAW
5,Watford,Man City,0,6,AWAY_TEAM
5,Spurs,Swansea,0,0,DRAW
5,Chelsea,Arsenal,0,0,DRAW
5,Man Utd,Everton,4,0,HOME_TEAM
6,West Ham,Spurs,2,3,AWAY_TEAM
6,Man City,Crystal Palace,5,0,HOME_TEAM
6,Swansea,Watford,1,2,AWAY_TEAM
6,Stoke,Chelsea,0,4,AWAY_TEAM
6,Everton,Bournemouth,2,1,HOME_TEAM
6,Burnley,Huddersfield,0,0,DRAW
6,Southampton,Man Utd,0,1,AWAY_TEAM
6,Leicester,Liverpool,2,3,AWAY_TEAM
6,Brighton,Newcastle,1,0,HOME_TEAM
6,Arsenal,West Brom,2,0,HOME_TEAM
7,Huddersfield,Spurs,0,4,AWAY_TEAM
7,Stoke,Southampton,2,1,HOME_TEAM
7,West Brom,Watford,2,2,DRAW
7,Man Utd,Crystal Palace,4,0,HOME_TEAM
7,West Ham,Swansea,1,0,HOME_TEAM
7,Bournemouth,Leicester,0,0,DRAW
7,Chelsea,Man City,0,1,AWAY_TEAM
7,Arsenal,Brighton,2,0,HOME_TEAM
7,Everton,Burnley,0,1,AWAY_TEAM
7,Newcastle,Liverpool,1,1,DRAW
8,Liverpool,Man Utd,0,0,DRAW
8,Man City,Stoke,7,2,HOME_TEAM
8,Swansea,Huddersfield,2,0,HOME_TEAM
8,Spurs,Bournemouth,1,0,HOME_TEAM
8,Burnley,West Ham,1,1,DRAW
8,Crystal Palace,Chelsea,2,1,HOME_TEAM
8,Watford,Arsenal,2,1,HOME_TEAM
8,Brighton,Everton,1,1,DRAW
8,Southampton,Newcastle,2,2,DRAW
8,Leicester,West Brom,1,1,DRAW
9,West Ham,Brighton,0,3,AWAY_TEAM
9,Chelsea,Watford,4,2,HOME_TEAM
9,Man City,Burnley,3,0,HOME_TEAM
9,Swansea,Leicester,1,2,AWAY_TEAM
9,Newcastle,Crystal Palace,1,0,HOME_TEAM
9,Stoke,Bournemouth,1,2,AWAY_TEAM
9,Huddersfield,Man Utd,2,1,HOME_TEAM
9,Southampton,West Brom,1,0,HOME_TEAM
9,Everton,Arsenal,2,5,AWAY_TEAM
9,Spurs,Liverpool,4,1,HOME_TEAM
10,Man Utd,Spurs,1,0,HOME_TEAM
10,Liverpool,Huddersfield,3,0,HOME_TEAM
10,Arsenal,Swansea,2,1,HOME_TEAM
10,West Brom,Man City,2,3,AWAY_TEAM
10,Crystal Palace,West Ham,2,2,DRAW
10,Watford,Stoke,0,1,AWAY_TEAM
10,Bournemouth,Chelsea,0,1,AWAY_TEAM
10,Brighton,Southampton,1,1,DRAW
10,Leicester,Everton,2,0,HOME_TEAM
10,Burnley,Newcastle,1,0,HOME_TEAM
11,Stoke,Leicester,2,2,DRAW
11,Swansea,Brighton,0,1,AWAY_TEAM
11,Newcastle,Bournemouth,0,1,AWAY_TEAM
11,Huddersfield,West Brom,1,0,HOME_TEAM
11,Southampton,Burnley,0,1,AWAY_TEAM
11,West Ham,Liverpool,1,4,AWAY_TEAM
11,Spurs,Crystal Palace,1,0,HOME_TEAM
11,Man City,Arsenal,3,1,HOME_TEAM
11,Chelsea,Man Utd,1,0,HOME_TEAM
11,Everton,Watford,3,2,HOME_TEAM
12,Arsenal,Spurs,2,0,HOME_TEAM
12,Liverpool,Southampton,3,0,HOME_TEAM
12,West Brom,Chelsea,0,4,AWAY_TEAM
12,Leicester,Man City,0,2,AWAY_TEAM
12,Burnley,Swansea,2,0,HOME_TEAM
